# desk-break exercises (no-equipment subset of hasaneyldrm/exercises-dataset, MIT).
# Columns: group<TAB>name<TAB>gif<TAB>image<TAB>steps(joined by U+00B6).
# Media (gif/image) is referenced by URL at display time; © Gym visual — https://gymvisual.com/
core	3/4 sit-up	videos/0001-2gPfomN.gif	images/0001-2gPfomN.jpg	平躺，膝盖弯曲，双脚平放在地上。¶将双手放在脑后，肘部朝外。¶收紧腹肌，慢慢将上半身抬离地面，向前卷曲，直到躯干呈 45 度角。¶在顶部停顿片刻，然后慢慢将上半身放回起始位置。¶重复所需的重复次数。
core	45° side bend	videos/0002-Hy9D21L.gif	images/0002-Hy9D21L.jpg	双脚分开与肩同宽站立，双臂在身体两侧笔直向下伸展。¶保持背部挺直，核心肌群参与，慢慢将躯干向一侧弯曲，将手向膝盖方向放低。¶在底部停顿片刻，然后慢慢回到起始位置。¶在另一侧重复。¶继续交替进行所需的重复次数。
core	air bike	videos/0003-1ZFqTDN.gif	images/0003-1ZFqTDN.jpg	平躺，双手放在脑后。¶将双腿抬离地面，并以 90 度角弯曲膝盖。¶将右肘靠近左膝盖，同时伸直右腿。¶返回起始位置，在另一侧重复该动作，将左肘拉向右膝盖，同时伸直左腿。¶继续交替进行蹬踏动作，达到所需的重复次数。
legs	all fours squad stretch	videos/1512-qBcKorM.gif	images/1512-qBcKorM.jpg	从四肢着地开始，双手直接放在肩膀下方，膝盖直接放在臀部下方。¶将一条腿向后伸直，保持膝盖弯曲和脚弯曲。¶慢慢地将臀部降低到地面，感觉股四头肌的伸展。¶保持这个姿势20-30秒。¶换腿并在另一侧重复拉伸。
core	alternate heel touchers	videos/0006-qaZVsGk.gif	images/0006-qaZVsGk.jpg	平躺，膝盖弯曲，双脚平放在地上。¶将双臂伸直至两侧，与地面平行。¶收紧腹肌，将肩膀抬离地面，并将右手伸向右脚跟。¶返回起始位置并在左侧重复，将左手伸向左脚跟。¶继续交替进行所需的重复次数。
legs	ankle circles	videos/1368-uL9CsKm.gif	images/1368-uL9CsKm.jpg	坐在地上，双腿在身前伸展。¶将一条腿抬离地面，并以圆周运动旋转脚踝。¶在一个方向上转所需的圈数，然后切换到另一个方向。¶换另一条腿重复上述步骤。
back	archer pull up	videos/3293-72BC5Za.gif	images/3293-72BC5Za.jpg	首先，用正手握法悬挂在引体向上杆上，握距略宽于肩宽。¶启动你的核心并将肩胛骨向下拉和向后拉。¶当你站起来时，弯曲一只手臂并将肘部移向身体一侧，同时保持另一只手臂伸直。¶继续拉，直到下巴位于杠铃上方并且弯曲的手臂完全弯曲。¶有控制地放低自己，伸直弯曲的手臂并在另一侧重复该动作。¶每次重复时交替进行。
chest	archer push up	videos/3294-A9qxk2F.gif	images/3294-A9qxk2F.jpg	从俯卧撑位置开始，双手分开略宽于肩宽。¶将一只手臂伸直至一侧，与地面平行。¶弯曲肘部降低身体，保持背部挺直，核心参与。¶推回到起始位置。¶在另一侧重复上述步骤，将另一只手臂伸出到一侧。¶继续交替进行所需的重复次数。
core	arm slingers hanging bent knee legs	videos/2355-uWpxD4v.gif	images/2355-uWpxD4v.jpg	悬挂在引体向上杆上，双臂完全伸展，膝盖弯曲成 90 度角。¶收紧核心并将膝盖抬向胸部，尽可能靠近肘部。¶慢慢地将双腿放回起始位置。¶重复所需的重复次数。
core	arm slingers hanging straight legs	videos/2333-PXTIwgu.gif	images/2333-PXTIwgu.jpg	悬挂在引体向上杆上，双臂完全伸展，双腿伸直向下。¶启动你的核心并将双腿抬起到你面前，直到它们与地面平行。¶在顶部保持片刻，然后慢慢将双腿放回起始位置。¶重复所需的重复次数。
legs	arms apart circular toe touch (male)	videos/3214-RtyAsy1.gif	images/3214-RtyAsy1.jpg	双脚分开与肩同宽站立，双臂向两侧伸展。¶保持双腿伸直，腰部向前弯曲，右手向下伸向脚趾。¶当你向下伸展时，同时将左腿在身后伸直，保持平衡。¶返回起始位置，重复该动作，左手伸向脚趾，右腿在身后抬起。¶继续交替进行所需的重复次数。
core	arms overhead full sit-up (male)	videos/3204-NAkmgdx.gif	images/3204-NAkmgdx.jpg	平躺，膝盖弯曲，双脚平放在地上。¶将手臂伸过头顶，保持伸直。¶收紧腹肌，慢慢将上半身抬离地面，向前卷曲直到躯干直立。¶在顶部停顿片刻，然后慢慢将上半身放回起始位置。¶重复所需的重复次数。
cardio	astride jumps (male)	videos/3220-f9lVSSI.gif	images/3220-f9lVSSI.jpg	双脚分开与肩同宽站立。¶弯曲膝盖并将身体降低至蹲姿。¶爆发性向上跳跃，伸展双腿和手臂。¶在空中时，将双腿分开，并将双臂向两侧伸出。¶双脚分开与肩同宽，轻轻落地，弯曲膝盖以吸收冲击力。¶重复所需的重复次数。
cardio	back and forth step	videos/3672-fNGumX0.gif	images/3672-fNGumX0.jpg	双脚分开与肩同宽站立。¶右脚向前迈出一步，弯曲膝盖，将身体降低到弓步位置。¶用右脚蹬地，然后回到起始位置。¶用左脚重复该动作，每一步交替双腿。¶继续来回走动，保持稳定的步伐。¶重复所需的持续时间或重复次数。
back	back lever	videos/3297-GaSzzuh.gif	images/3297-GaSzzuh.jpg	首先，用正手握法悬挂在引体向上杆上，双手分开的距离略大于肩宽。¶启动你的核心并将肩胛骨向下拉和向后拉。¶弯曲膝盖并将其向胸部靠拢。¶慢慢抬起双腿，保持伸直，直到身体与地面平行。¶保持这个姿势几秒钟，然后慢慢地将双腿放回起始位置。¶重复所需的重复次数。
back	back pec stretch	videos/1405-chfnQnM.gif	images/1405-chfnQnM.jpg	站直，双脚分开与肩同宽。¶将双臂伸直在身前，与地面平行。¶双臂交叉在身体前方，右臂放在左臂上方。¶手指交叉，手掌旋转远离身体。¶慢慢抬起手臂并远离身体，感觉背部和胸部有拉伸感。¶保持拉伸 15-30 秒，然后放松。¶在另一侧重复。
legs	backward jump	videos/1473-SaDOwk7.gif	images/1473-SaDOwk7.jpg	双脚分开与肩同宽站立。¶稍微弯曲膝盖，向后跳跃，用双脚蹬地。¶脚掌轻轻着地，弯曲膝盖以吸收冲击力。¶重复所需的重复次数。
legs	balance board	videos/0020-xAySMB0.gif	images/0020-xAySMB0.jpg	将平衡板放在平坦的表面上。¶用一只脚踩在平衡板上，确保其居中。¶慢慢地将体重转移到平衡板上的脚上，保持核心肌群参与。¶在保持该姿势所需的时间内保持平衡和稳定。¶用另一只脚重复该练习。
legs	basic toe touch (male)	videos/3212-BbfB8Gb.gif	images/3212-BbfB8Gb.jpg	双脚分开与肩同宽站立，双臂放在身体两侧。¶腰部向前弯曲，保持背部挺直，膝盖稍微弯曲。¶双手向下伸向脚趾，尽可能保持双腿伸直。¶在底部停顿片刻，然后慢慢回到起始位置。¶重复所需的重复次数。
